Time,VehicleID,Speed,PositionX,PositionY,DetectedObjects,TTC,SubCauseCode,DangerVehicleID
22.686,vehA,29.028,2965.086,7119.423,0,N/A,0,N/A
22.786,vehA,29.127,2966.363,7116.806,0,N/A,0,N/A
22.886,vehA,29.180,2967.642,7114.183,0,N/A,0,N/A
22.986,vehA,29.245,2968.924,7111.554,0,N/A,0,N/A
23.086,vehA,29.306,2970.209,7108.920,0,N/A,0,N/A
23.186,vehA,29.360,2971.496,7106.282,0,N/A,0,N/A
23.286,vehA,29.433,2972.787,7103.636,0,N/A,0,N/A
23.386,vehA,29.522,2974.081,7100.983,0,N/A,0,N/A
23.486,vehA,29.581,2975.378,7098.324,0,N/A,0,N/A
23.586,vehA,29.676,2976.679,7095.657,0,N/A,0,N/A
23.686,vehA,29.751,2977.983,7092.983,0,N/A,0,N/A
23.786,vehA,29.810,2979.290,7090.304,0,N/A,0,N/A
23.886,vehA,29.889,2980.601,7087.618,0,N/A,0,N/A
23.986,vehA,29.980,2981.915,7084.923,0,N/A,0,N/A
24.086,vehA,30.036,2983.232,7082.223,0,N/A,0,N/A
24.186,vehA,30.118,2984.553,7079.517,0,N/A,0,N/A
24.286,vehA,30.200,2985.877,7076.802,0,N/A,0,N/A
24.386,vehA,30.283,2987.204,7074.080,0,N/A,0,N/A
24.486,vehA,30.350,2988.535,7071.353,0,N/A,0,N/A
24.586,vehA,30.425,2989.869,7068.618,0,N/A,0,N/A
24.686,vehA,30.508,2991.206,7065.876,0,N/A,0,N/A
24.786,vehA,30.562,2992.546,7063.129,0,N/A,0,N/A
24.886,vehA,30.655,2993.890,7060.374,0,N/A,0,N/A
24.986,vehA,30.746,2995.238,7057.611,0,N/A,0,N/A
25.086,vehA,30.840,2996.591,7054.839,0,N/A,0,N/A
25.186,vehA,30.905,2997.946,7052.061,0,N/A,0,N/A
25.286,vehA,30.973,2999.303,7049.278,0,N/A,0,N/A
25.386,vehA,31.048,3000.665,7046.487,0,N/A,0,N/A
25.486,vehA,31.143,3002.030,7043.688,0,N/A,0,N/A
25.586,vehA,31.242,3003.400,7040.880,0,N/A,0,N/A
25.686,vehA,31.297,3004.772,7038.067,0,N/A,0,N/A
25.786,vehA,31.359,3006.147,7035.249,0,N/A,0,N/A
25.886,vehA,31.429,3007.525,7032.424,0,N/A,0,N/A
25.986,vehA,31.525,3008.907,7029.590,0,N/A,0,N/A
26.086,vehA,31.583,3010.292,7026.752,0,N/A,0,N/A
26.186,vehA,31.668,3011.680,7023.906,0,N/A,0,N/A
26.286,vehA,31.731,3013.071,7021.054,0,N/A,0,N/A
26.386,vehA,31.784,3014.465,7018.197,0,N/A,0,N/A
26.486,vehA,31.876,3015.862,7015.332,0,N/A,0,N/A
26.586,vehA,31.964,3017.264,7012.459,0,N/A,0,N/A
26.686,vehA,32.039,3018.668,7009.580,0,N/A,0,N/A
26.786,vehA,32.138,3020.078,7006.691,0,N/A,0,N/A
26.886,vehA,32.199,3021.489,7003.797,0,N/A,0,N/A
26.986,vehA,32.270,3022.904,7000.897,0,N/A,0,N/A
27.086,vehA,32.343,3024.322,6997.990,0,N/A,0,N/A
27.186,vehA,32.433,3025.744,6995.075,0,N/A,0,N/A
27.286,vehA,32.532,3027.170,6992.151,0,N/A,0,N/A
27.386,vehA,32.612,3028.600,6989.220,0,N/A,0,N/A
27.486,vehA,32.698,3030.034,6986.281,0,N/A,0,N/A
27.586,vehA,32.756,3031.470,6983.337,0,N/A,0,N/A
27.686,vehA,32.823,3032.909,6980.387,0,N/A,0,N/A
27.786,vehA,32.918,3034.352,6977.429,0,N/A,0,N/A
27.886,vehA,32.981,3035.798,6974.464,0,N/A,0,N/A
27.986,vehA,33.069,3037.248,6971.492,0,N/A,0,N/A
28.086,vehA,33.120,3038.700,6968.515,0,N/A,0,N/A
28.186,vehA,33.170,3040.154,6965.534,0,N/A,0,N/A
28.286,vehA,33.227,3041.611,6962.548,0,N/A,0,N/A
28.386,vehA,33.291,3043.071,6959.556,0,N/A,0,N/A
28.486,vehA,33.314,3044.531,6956.562,0,N/A,0,N/A
28.586,vehA,33.281,3045.990,6953.570,0,N/A,0,N/A
28.686,vehA,33.313,3047.451,6950.576,0,N/A,0,N/A
28.786,vehA,33.314,3048.912,6947.582,0,N/A,0,N/A
28.886,vehA,33.327,3050.373,6944.587,0,N/A,0,N/A
28.986,vehA,33.311,3051.833,6941.593,0,N/A,0,N/A
29.086,vehA,33.317,3053.294,6938.598,0,N/A,0,N/A
29.186,vehA,33.310,3054.754,6935.605,0,N/A,0,N/A
29.286,vehA,33.327,3056.215,6932.609,0,N/A,0,N/A
29.386,vehA,33.320,3057.676,6929.615,0,N/A,0,N/A
29.486,vehA,33.298,3059.136,6926.622,0,N/A,0,N/A
29.586,vehA,33.306,3060.596,6923.628,0,N/A,0,N/A
29.686,vehA,33.312,3062.057,6920.634,0,N/A,0,N/A
29.786,vehA,33.281,3063.516,6917.643,0,N/A,0,N/A
29.886,vehA,33.298,3064.976,6914.650,0,N/A,0,N/A
29.986,vehA,33.320,3066.437,6911.656,0,N/A,0,N/A
30.086,vehA,33.323,3067.898,6908.661,0,N/A,0,N/A
30.186,vehA,33.290,3069.357,6905.669,0,N/A,0,N/A
30.286,vehA,33.286,3070.817,6902.677,0,N/A,0,N/A
30.386,vehA,33.292,3072.276,6899.685,0,N/A,0,N/A
30.486,vehA,33.296,3073.736,6896.692,0,N/A,0,N/A
30.586,vehA,33.286,3075.196,6893.701,0,N/A,0,N/A
30.686,vehA,33.285,3076.655,6890.709,0,N/A,0,N/A
30.786,vehA,33.317,3078.116,6887.715,0,N/A,0,N/A
30.886,vehA,33.318,3079.576,6884.720,0,N/A,0,N/A
30.986,vehA,33.281,3081.035,6881.729,0,N/A,0,N/A
31.086,vehA,33.328,3082.497,6878.734,0,N/A,0,N/A
31.186,vehA,33.291,3083.956,6875.741,0,N/A,0,N/A
31.286,vehA,33.281,3085.415,6872.750,0,N/A,0,N/A
31.386,vehA,33.293,3086.875,6869.758,0,N/A,0,N/A
31.486,vehA,33.327,3088.336,6866.763,0,N/A,0,N/A
31.586,vehA,33.324,3089.797,6863.768,0,N/A,0,N/A
31.686,vehA,33.299,3091.257,6860.775,0,N/A,0,N/A
31.786,vehA,33.294,3092.717,6857.782,0,N/A,0,N/A
31.886,vehA,33.313,3094.177,6854.788,0,N/A,0,N/A
31.986,vehA,33.295,3095.637,6851.796,0,N/A,0,N/A
32.086,vehA,33.294,3097.097,6848.803,0,N/A,0,N/A
32.186,vehA,33.304,3098.557,6845.810,0,N/A,0,N/A
32.286,vehA,33.324,3100.018,6842.815,0,N/A,0,N/A
32.386,vehA,33.325,3101.479,6839.820,0,N/A,0,N/A
32.486,vehA,33.306,3102.939,6836.826,0,N/A,0,N/A
32.586,vehA,33.329,3104.401,6833.831,0,N/A,0,N/A
32.686,vehA,33.311,3105.861,6830.837,0,N/A,0,N/A
32.786,vehA,33.305,3107.321,6827.844,0,N/A,0,N/A
32.886,vehA,33.291,3108.781,6824.851,0,N/A,0,N/A
32.986,vehA,33.310,3110.241,6821.858,0,N/A,0,N/A
33.086,vehA,33.281,3111.701,6818.866,0,N/A,0,N/A
33.186,vehA,33.320,3113.161,6815.872,0,N/A,0,N/A
33.286,vehA,33.313,3114.622,6812.878,0,N/A,0,N/A
33.386,vehA,32.957,3116.067,6809.916,0,N/A,0,N/A
33.486,vehA,32.543,3117.494,6806.991,0,N/A,0,N/A
33.586,vehA,32.093,3118.901,6804.106,0,N/A,0,N/A
33.686,vehA,31.643,3120.288,6801.262,0,N/A,0,N/A
33.786,vehA,31.193,3121.656,6798.459,0,N/A,0,N/A
33.886,vehA,30.743,3123.004,6795.695,0,N/A,0,N/A
33.986,vehA,30.293,3124.332,6792.973,0,N/A,0,N/A
34.086,vehA,29.843,3125.640,6790.291,0,N/A,0,N/A
34.186,vehA,29.399,3126.929,6787.648,0,N/A,0,N/A
34.286,vehA,28.949,3128.198,6785.046,0,N/A,0,N/A
34.386,vehA,28.499,3129.448,6782.485,0,N/A,0,N/A
34.486,vehA,28.049,3130.678,6779.964,0,N/A,0,N/A
34.586,vehA,27.599,3131.888,6777.484,0,N/A,0,N/A
34.686,vehA,27.149,3133.078,6775.043,0,N/A,0,N/A
34.786,vehA,26.699,3134.248,6772.644,0,N/A,0,N/A
34.886,vehA,26.249,3135.399,6770.285,0,N/A,0,N/A
34.986,vehA,25.799,3136.530,6767.966,0,N/A,0,N/A
35.086,vehA,25.349,3137.642,6765.688,0,N/A,0,N/A
35.186,vehA,24.899,3138.733,6763.450,0,N/A,0,N/A
35.286,vehA,24.449,3139.805,6761.252,0,N/A,0,N/A
35.386,vehA,23.999,3140.857,6759.095,0,N/A,0,N/A
35.486,vehA,23.549,3141.890,6756.979,0,N/A,0,N/A
35.586,vehA,23.099,3142.903,6754.903,0,N/A,0,N/A
35.686,vehA,22.649,3143.896,6752.867,0,N/A,0,N/A
35.786,vehA,22.199,3144.869,6750.872,0,N/A,0,N/A
35.886,vehA,21.750,3145.823,6748.917,0,N/A,0,N/A
35.986,vehA,21.300,3146.756,6747.003,0,N/A,0,N/A
36.086,vehA,20.850,3147.671,6745.129,0,N/A,0,N/A
36.186,vehA,20.400,3148.565,6743.295,0,N/A,0,N/A
36.286,vehA,19.950,3149.440,6741.502,0,N/A,0,N/A
36.386,vehA,19.500,3150.295,6739.749,0,N/A,0,N/A
36.486,vehA,19.050,3151.130,6738.037,0,N/A,0,N/A
36.586,vehA,18.600,3151.945,6736.365,0,N/A,0,N/A
36.686,vehA,18.150,3152.741,6734.734,0,N/A,0,N/A
36.786,vehA,17.701,3153.517,6733.143,0,N/A,0,N/A
36.886,vehA,17.251,3154.274,6731.593,0,N/A,0,N/A
36.986,vehA,16.801,3155.010,6730.083,0,N/A,0,N/A
37.086,vehA,16.351,3155.727,6728.613,0,N/A,0,N/A
37.186,vehA,15.901,3156.424,6727.184,0,N/A,0,N/A
37.286,vehA,15.451,3157.102,6725.795,0,N/A,0,N/A
37.386,vehA,15.001,3157.759,6724.447,0,N/A,0,N/A
37.486,vehA,14.551,3158.397,6723.139,0,N/A,0,N/A
37.586,vehA,14.101,3159.016,6721.872,0,N/A,0,N/A
37.686,vehA,13.651,3159.614,6720.645,0,N/A,0,N/A
37.786,vehA,13.201,3160.193,6719.458,0,N/A,0,N/A
37.886,vehA,12.751,3160.752,6718.312,0,N/A,0,N/A
37.986,vehA,12.302,3161.291,6717.207,0,N/A,0,N/A
38.086,vehA,11.852,3161.811,6716.141,0,N/A,0,N/A
38.186,vehA,11.402,3162.311,6715.117,0,N/A,0,N/A
38.286,vehA,10.952,3162.791,6714.132,0,N/A,0,N/A
38.386,vehA,10.502,3163.251,6713.188,0,N/A,0,N/A
38.486,vehA,10.052,3163.692,6712.285,0,N/A,0,N/A
38.586,vehA,9.602,3164.113,6711.422,0,N/A,0,N/A
38.686,vehA,9.152,3164.514,6710.599,0,N/A,0,N/A
38.786,vehA,8.702,3164.896,6709.817,0,N/A,0,N/A
38.886,vehA,8.256,3165.258,6709.075,0,N/A,0,N/A
38.986,vehA,7.806,3165.600,6708.373,0,N/A,0,N/A
39.086,vehA,7.356,3165.923,6707.712,0,N/A,0,N/A
39.186,vehA,6.906,3166.226,6707.092,0,N/A,0,N/A
39.286,vehA,6.456,3166.509,6706.511,0,N/A,0,N/A
39.386,vehA,6.006,3166.772,6705.971,0,N/A,0,N/A
39.486,vehA,5.556,3167.016,6705.472,0,N/A,0,N/A
39.586,vehA,5.106,3167.239,6705.013,0,N/A,0,N/A
39.686,vehA,4.656,3167.444,6704.595,0,N/A,0,N/A
39.786,vehA,4.206,3167.628,6704.217,0,N/A,0,N/A
39.886,vehA,3.756,3167.793,6703.879,0,N/A,0,N/A
39.986,vehA,3.306,3167.938,6703.582,0,N/A,0,N/A
40.086,vehA,2.856,3168.063,6703.325,0,N/A,0,N/A
40.186,vehA,2.406,3168.168,6703.109,0,N/A,0,N/A
40.286,vehA,1.956,3168.254,6702.933,0,N/A,0,N/A
40.386,vehA,1.506,3168.320,6702.798,0,N/A,0,N/A
40.486,vehA,1.056,3168.366,6702.703,0,N/A,0,N/A
40.586,vehA,0.617,3168.394,6702.647,0,N/A,0,N/A
40.686,vehA,0.190,3168.402,6702.630,0,N/A,0,N/A
40.786,vehA,0.001,3168.402,6702.630,0,N/A,0,N/A
40.886,vehA,0.000,3168.402,6702.630,0,N/A,0,N/A
40.986,vehA,0.000,3168.402,6702.630,0,N/A,0,N/A
41.086,vehA,0.000,3168.402,6702.630,0,N/A,0,N/A
41.186,vehA,0.000,3168.402,6702.630,0,N/A,0,N/A
41.286,vehA,0.000,3168.402,6702.630,0,N/A,0,N/A
41.386,vehA,0.000,3168.402,6702.630,0,N/A,0,N/A
41.486,vehA,0.000,3168.402,6702.630,0,N/A,0,N/A
41.586,vehA,0.000,3168.402,6702.630,0,N/A,0,N/A
41.686,vehA,0.000,3168.402,6702.630,0,N/A,0,N/A
41.786,vehA,0.099,3168.406,6702.621,0,N/A,0,N/A
41.886,vehA,0.196,3168.415,6702.603,0,N/A,0,N/A
41.986,vehA,0.287,3168.427,6702.578,0,N/A,0,N/A
42.086,vehA,0.384,3168.444,6702.543,0,N/A,0,N/A
42.186,vehA,0.468,3168.465,6702.501,0,N/A,0,N/A
42.286,vehA,0.563,3168.489,6702.451,0,N/A,0,N/A
42.386,vehA,0.642,3168.518,6702.393,0,N/A,0,N/A
42.486,vehA,0.711,3168.549,6702.329,0,N/A,0,N/A
42.586,vehA,0.796,3168.584,6702.257,0,N/A,0,N/A
42.686,vehA,0.887,3168.623,6702.178,0,N/A,0,N/A
42.786,vehA,0.979,3168.665,6702.090,0,N/A,0,N/A
42.886,vehA,1.043,3168.711,6701.996,0,N/A,0,N/A
42.986,vehA,1.102,3168.759,6701.897,0,N/A,0,N/A
43.086,vehA,1.195,3168.812,6701.790,0,N/A,0,N/A
43.186,vehA,1.247,3168.867,6701.678,0,N/A,0,N/A
43.286,vehA,1.302,3168.924,6701.560,0,N/A,0,N/A
43.386,vehA,1.384,3168.984,6701.436,0,N/A,0,N/A
43.486,vehA,1.449,3169.048,6701.306,0,N/A,0,N/A
43.586,vehA,1.547,3169.116,6701.167,0,N/A,0,N/A
43.686,vehA,1.606,3169.186,6701.023,0,N/A,0,N/A
43.786,vehA,1.684,3169.260,6700.871,0,N/A,0,N/A
43.886,vehA,1.768,3169.337,6700.712,0,N/A,0,N/A
43.986,vehA,1.824,3169.417,6700.548,0,N/A,0,N/A
44.086,vehA,1.923,3169.502,6700.376,0,N/A,0,N/A
44.186,vehA,1.994,3169.589,6700.196,0,N/A,0,N/A
44.286,vehA,2.048,3169.679,6700.012,0,N/A,0,N/A
44.386,vehA,2.121,3169.772,6699.822,0,N/A,0,N/A
44.486,vehA,2.181,3169.867,6699.626,0,N/A,0,N/A
44.586,vehA,2.279,3169.967,6699.421,0,N/A,0,N/A
44.686,vehA,2.367,3170.071,6699.208,0,N/A,0,N/A
44.786,vehA,2.446,3170.178,6698.988,0,N/A,0,N/A
44.886,vehA,2.533,3170.289,6698.761,0,N/A,0,N/A
44.986,vehA,2.584,3170.403,6698.528,0,N/A,0,N/A
45.086,vehA,2.653,3170.519,6698.290,0,N/A,0,N/A
45.186,vehA,2.739,3170.639,6698.044,0,N/A,0,N/A
45.286,vehA,2.836,3170.763,6697.789,0,N/A,0,N/A
45.386,vehA,2.902,3170.891,6697.528,0,N/A,0,N/A
45.486,vehA,2.953,3171.020,6697.263,0,N/A,0,N/A
45.586,vehA,3.024,3171.153,6696.991,0,N/A,0,N/A
45.686,vehA,3.085,3171.288,6696.714,0,N/A,0,N/A
45.786,vehA,3.143,3171.426,6696.431,0,N/A,0,N/A
45.886,vehA,3.238,3171.568,6696.140,0,N/A,0,N/A
45.986,vehA,3.331,3171.714,6695.841,0,N/A,0,N/A
46.086,vehA,3.386,3171.862,6695.536,0,N/A,0,N/A
46.186,vehA,3.445,3172.013,6695.227,0,N/A,0,N/A
46.286,vehA,3.538,3172.168,6694.909,0,N/A,0,N/A
46.386,vehA,3.630,3172.328,6694.583,0,N/A,0,N/A
46.486,vehA,3.688,3172.489,6694.251,0,N/A,0,N/A
46.586,vehA,3.744,3172.653,6693.915,0,N/A,0,N/A
46.686,vehA,3.826,3172.821,6693.571,0,N/A,0,N/A
46.786,vehA,3.907,3172.992,6693.220,0,N/A,0,N/A
