Time,VehicleID,Speed,AlertReceived,AlertType,SenderID,Risk,CurrentLane,TargetLane,Action
2.206,vehB,30.066,No,N/A,N/A,N/A,N/A,N/A,NoAlert
2.306,vehB,30.150,No,N/A,N/A,N/A,N/A,N/A,NoAlert
2.406,vehB,30.206,No,N/A,N/A,N/A,N/A,N/A,NoAlert
2.506,vehB,30.261,No,N/A,N/A,N/A,N/A,N/A,NoAlert
2.606,vehB,30.359,No,N/A,N/A,N/A,N/A,N/A,NoAlert
2.706,vehB,30.457,No,N/A,N/A,N/A,N/A,N/A,NoAlert
2.806,vehB,30.512,No,N/A,N/A,N/A,N/A,N/A,NoAlert
2.906,vehB,30.576,No,N/A,N/A,N/A,N/A,N/A,NoAlert
3.006,vehB,30.660,No,N/A,N/A,N/A,N/A,N/A,NoAlert
3.106,vehB,30.727,No,N/A,N/A,N/A,N/A,N/A,NoAlert
3.206,vehB,30.784,No,N/A,N/A,N/A,N/A,N/A,NoAlert
3.306,vehB,30.872,No,N/A,N/A,N/A,N/A,N/A,NoAlert
3.406,vehB,30.967,No,N/A,N/A,N/A,N/A,N/A,NoAlert
3.506,vehB,31.061,No,N/A,N/A,N/A,N/A,N/A,NoAlert
3.606,vehB,31.152,No,N/A,N/A,N/A,N/A,N/A,NoAlert
3.706,vehB,31.245,No,N/A,N/A,N/A,N/A,N/A,NoAlert
3.806,vehB,31.310,No,N/A,N/A,N/A,N/A,N/A,NoAlert
3.906,vehB,31.381,No,N/A,N/A,N/A,N/A,N/A,NoAlert
4.006,vehB,31.461,No,N/A,N/A,N/A,N/A,N/A,NoAlert
4.106,vehB,31.512,No,N/A,N/A,N/A,N/A,N/A,NoAlert
4.206,vehB,31.575,No,N/A,N/A,N/A,N/A,N/A,NoAlert
4.306,vehB,31.631,No,N/A,N/A,N/A,N/A,N/A,NoAlert
4.406,vehB,31.705,No,N/A,N/A,N/A,N/A,N/A,NoAlert
4.506,vehB,31.775,No,N/A,N/A,N/A,N/A,N/A,NoAlert
4.606,vehB,31.872,No,N/A,N/A,N/A,N/A,N/A,NoAlert
4.706,vehB,31.942,No,N/A,N/A,N/A,N/A,N/A,NoAlert
4.806,vehB,32.004,No,N/A,N/A,N/A,N/A,N/A,NoAlert
4.906,vehB,32.084,No,N/A,N/A,N/A,N/A,N/A,NoAlert
5.006,vehB,32.143,No,N/A,N/A,N/A,N/A,N/A,NoAlert
5.106,vehB,32.230,No,N/A,N/A,N/A,N/A,N/A,NoAlert
5.186,vehB,32.230,Yes,LaneChange,vehA,0.580,0,1,SpeedReduction
5.306,vehB,31.330,No,N/A,N/A,N/A,N/A,N/A,NoAlert
5.306,vehB,31.330,Yes,LaneChange,vehA,0.470,1,1,SpeedReduction_LaneChange
5.386,vehB,31.330,Yes,LaneChange,vehA,0.370,1,1,IncreasedVigilance
5.506,vehB,30.430,No,N/A,N/A,N/A,N/A,N/A,NoAlert
5.506,vehB,30.430,Yes,LaneChange,vehA,0.310,1,1,IncreasedVigilance
5.706,vehB,29.530,No,N/A,N/A,N/A,N/A,N/A,NoAlert
5.806,vehB,29.080,No,N/A,N/A,N/A,N/A,N/A,NoAlert
5.906,vehB,28.630,No,N/A,N/A,N/A,N/A,N/A,NoAlert
6.006,vehB,28.180,No,N/A,N/A,N/A,N/A,N/A,NoAlert
6.106,vehB,27.730,No,N/A,N/A,N/A,N/A,N/A,NoAlert
6.206,vehB,27.280,No,N/A,N/A,N/A,N/A,N/A,NoAlert
6.306,vehB,26.830,No,N/A,N/A,N/A,N/A,N/A,NoAlert
6.406,vehB,26.380,No,N/A,N/A,N/A,N/A,N/A,NoAlert
6.506,vehB,25.930,No,N/A,N/A,N/A,N/A,N/A,NoAlert
6.606,vehB,25.480,No,N/A,N/A,N/A,N/A,N/A,NoAlert
6.706,vehB,25.030,No,N/A,N/A,N/A,N/A,N/A,NoAlert
6.806,vehB,24.580,No,N/A,N/A,N/A,N/A,N/A,NoAlert
6.906,vehB,24.130,No,N/A,N/A,N/A,N/A,N/A,NoAlert
7.006,vehB,23.680,No,N/A,N/A,N/A,N/A,N/A,NoAlert
7.106,vehB,23.230,No,N/A,N/A,N/A,N/A,N/A,NoAlert
7.206,vehB,22.780,No,N/A,N/A,N/A,N/A,N/A,NoAlert
7.306,vehB,22.330,No,N/A,N/A,N/A,N/A,N/A,NoAlert
7.406,vehB,21.931,No,N/A,N/A,N/A,N/A,N/A,NoAlert
7.506,vehB,21.931,No,N/A,N/A,N/A,N/A,N/A,NoAlert
7.606,vehB,21.931,No,N/A,N/A,N/A,N/A,N/A,NoAlert
7.706,vehB,21.931,No,N/A,N/A,N/A,N/A,N/A,NoAlert
7.806,vehB,21.931,No,N/A,N/A,N/A,N/A,N/A,NoAlert
7.906,vehB,21.931,No,N/A,N/A,N/A,N/A,N/A,NoAlert
8.006,vehB,21.931,No,N/A,N/A,N/A,N/A,N/A,NoAlert
8.106,vehB,21.931,No,N/A,N/A,N/A,N/A,N/A,NoAlert
8.206,vehB,21.931,No,N/A,N/A,N/A,N/A,N/A,NoAlert
8.306,vehB,21.931,No,N/A,N/A,N/A,N/A,N/A,NoAlert
8.406,vehB,21.931,No,N/A,N/A,N/A,N/A,N/A,NoAlert
8.506,vehB,21.931,No,N/A,N/A,N/A,N/A,N/A,NoAlert
8.606,vehB,21.931,No,N/A,N/A,N/A,N/A,N/A,NoAlert
8.706,vehB,21.931,No,N/A,N/A,N/A,N/A,N/A,NoAlert
8.806,vehB,21.931,No,N/A,N/A,N/A,N/A,N/A,NoAlert
8.906,vehB,21.931,No,N/A,N/A,N/A,N/A,N/A,NoAlert
9.006,vehB,21.931,No,N/A,N/A,N/A,N/A,N/A,NoAlert
9.106,vehB,21.931,No,N/A,N/A,N/A,N/A,N/A,NoAlert
9.206,vehB,21.931,No,N/A,N/A,N/A,N/A,N/A,NoAlert
9.306,vehB,21.931,No,N/A,N/A,N/A,N/A,N/A,NoAlert
9.406,vehB,21.931,No,N/A,N/A,N/A,N/A,N/A,NoAlert
9.506,vehB,21.931,No,N/A,N/A,N/A,N/A,N/A,NoAlert
9.606,vehB,21.931,No,N/A,N/A,N/A,N/A,N/A,NoAlert
9.706,vehB,21.931,No,N/A,N/A,N/A,N/A,N/A,NoAlert
9.806,vehB,21.931,No,N/A,N/A,N/A,N/A,N/A,NoAlert
9.906,vehB,21.931,No,N/A,N/A,N/A,N/A,N/A,NoAlert
10.006,vehB,21.931,No,N/A,N/A,N/A,N/A,N/A,NoAlert
10.106,vehB,21.931,No,N/A,N/A,N/A,N/A,N/A,NoAlert
10.206,vehB,21.931,No,N/A,N/A,N/A,N/A,N/A,NoAlert
10.306,vehB,21.931,No,N/A,N/A,N/A,N/A,N/A,NoAlert
10.406,vehB,21.931,No,N/A,N/A,N/A,N/A,N/A,NoAlert
10.506,vehB,21.931,No,N/A,N/A,N/A,N/A,N/A,NoAlert
10.606,vehB,21.931,No,N/A,N/A,N/A,N/A,N/A,NoAlert
10.706,vehB,21.931,No,N/A,N/A,N/A,N/A,N/A,NoAlert
10.806,vehB,21.931,No,N/A,N/A,N/A,N/A,N/A,NoAlert
10.906,vehB,21.931,No,N/A,N/A,N/A,N/A,N/A,NoAlert
11.006,vehB,21.931,No,N/A,N/A,N/A,N/A,N/A,NoAlert
11.106,vehB,21.931,No,N/A,N/A,N/A,N/A,N/A,NoAlert
11.206,vehB,21.931,No,N/A,N/A,N/A,N/A,N/A,NoAlert
11.306,vehB,21.931,No,N/A,N/A,N/A,N/A,N/A,NoAlert
11.406,vehB,21.931,No,N/A,N/A,N/A,N/A,N/A,NoAlert
11.506,vehB,21.931,No,N/A,N/A,N/A,N/A,N/A,NoAlert
11.606,vehB,21.931,No,N/A,N/A,N/A,N/A,N/A,NoAlert
11.706,vehB,21.931,No,N/A,N/A,N/A,N/A,N/A,NoAlert
11.806,vehB,21.931,No,N/A,N/A,N/A,N/A,N/A,NoAlert
11.906,vehB,21.931,No,N/A,N/A,N/A,N/A,N/A,NoAlert
12.006,vehB,21.931,No,N/A,N/A,N/A,N/A,N/A,NoAlert
12.106,vehB,21.931,No,N/A,N/A,N/A,N/A,N/A,NoAlert
12.206,vehB,21.931,No,N/A,N/A,N/A,N/A,N/A,NoAlert
12.306,vehB,21.931,No,N/A,N/A,N/A,N/A,N/A,NoAlert
12.406,vehB,21.931,No,N/A,N/A,N/A,N/A,N/A,NoAlert
12.506,vehB,21.931,No,N/A,N/A,N/A,N/A,N/A,NoAlert
12.606,vehB,21.931,No,N/A,N/A,N/A,N/A,N/A,NoAlert
12.706,vehB,21.931,No,N/A,N/A,N/A,N/A,N/A,NoAlert
12.806,vehB,21.931,No,N/A,N/A,N/A,N/A,N/A,NoAlert
12.906,vehB,21.931,No,N/A,N/A,N/A,N/A,N/A,NoAlert
