Time,SenderSumoID,SenderStationID,OffenderSumoID,OffenderStationID,DetectedSpeed,PosX,PosY,ViolationType
5.245,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
5.345,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
5.445,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
5.545,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
5.645,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
5.745,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
5.845,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
5.945,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
6.045,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
6.145,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
6.245,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
6.345,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
6.445,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
6.545,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
6.645,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
6.745,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
6.845,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
6.945,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
7.045,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
7.145,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
7.245,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
7.345,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
7.445,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
7.545,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
7.645,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
7.745,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
7.845,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
7.945,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
8.045,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
8.145,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
8.245,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
8.345,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
8.445,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
8.545,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
8.645,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
8.745,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
8.845,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
8.945,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
9.045,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
9.145,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
9.245,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
9.345,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
9.445,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
9.545,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
9.645,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
9.745,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
9.845,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
9.945,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
10.045,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
10.145,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
10.245,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
10.345,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
10.445,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
10.545,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
10.645,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
10.745,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
10.845,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
10.945,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
11.045,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
11.145,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
11.245,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
11.345,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
11.445,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
11.545,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
11.645,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
11.745,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
11.845,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
11.945,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
12.045,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
12.145,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
12.245,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
12.345,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
12.445,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
12.545,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
12.645,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
12.745,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
12.845,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
12.945,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
13.045,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
13.145,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
13.245,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
13.345,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
13.445,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
13.545,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
13.645,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
13.745,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
13.845,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
13.945,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
14.045,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
14.145,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
14.245,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
14.345,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
14.445,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
14.545,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
14.645,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
14.745,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
14.845,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
14.945,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
15.045,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
15.145,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
15.245,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
15.345,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
15.445,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
15.545,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
15.645,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
15.745,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
15.845,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
15.945,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
16.045,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
16.145,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
16.245,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
16.345,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
16.445,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
16.545,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
16.645,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
16.745,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
16.845,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
16.945,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
17.045,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
17.145,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
17.245,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
17.345,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
17.445,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
17.545,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
17.645,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
17.745,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
17.845,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
17.945,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
18.045,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
18.145,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
18.245,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
18.345,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
18.445,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
18.545,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
18.645,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
18.745,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
18.845,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
18.945,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
19.045,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
19.145,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
19.245,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
19.345,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
19.445,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
19.545,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
19.645,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
19.745,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
19.845,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
19.945,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
20.045,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
20.145,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
20.245,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
20.345,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
20.445,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
20.545,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
20.645,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
20.745,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
20.845,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
20.945,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
21.045,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
21.145,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
21.245,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
21.345,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
21.445,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
21.545,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
21.645,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
21.745,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
21.845,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
21.945,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
22.045,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
22.145,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
22.245,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
22.345,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
22.445,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
22.545,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
22.645,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
22.745,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
22.845,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
22.945,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
23.045,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
23.145,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
23.245,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
23.345,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
23.445,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
23.545,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
23.645,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
23.745,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
23.845,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
23.945,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
24.045,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
24.145,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
24.245,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
24.345,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
24.445,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
24.545,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
24.645,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
24.745,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
24.845,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
24.945,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
25.045,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
25.145,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
25.245,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
25.345,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
25.445,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
25.545,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
25.645,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
25.745,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
25.845,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
25.945,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
26.045,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
26.145,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
26.245,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
26.345,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
26.445,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
26.545,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
26.645,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
26.745,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
26.845,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
26.945,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
27.045,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
27.145,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
27.245,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
27.345,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
27.445,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
27.545,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
27.645,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
27.745,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
27.845,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
27.945,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
28.045,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
28.145,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
28.245,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
28.345,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
28.445,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
28.545,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
28.645,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
28.745,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
28.845,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
28.945,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
29.045,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
29.145,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
29.245,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
29.345,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
29.445,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
29.545,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
29.645,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
29.745,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
29.845,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
29.945,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
30.045,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
30.145,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
30.245,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
30.345,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
30.445,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
30.545,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
30.645,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
30.745,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
30.845,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
30.945,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
31.045,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
31.145,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
31.245,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
31.345,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
31.445,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
31.545,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
31.645,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
31.745,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
31.845,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
31.945,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
32.045,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
32.145,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
32.245,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
32.345,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
32.445,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
32.545,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
32.645,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
32.745,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
32.845,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
32.945,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
33.045,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
33.145,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
33.245,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
33.345,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
33.445,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
33.545,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
33.645,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
33.745,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
33.845,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
33.945,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
34.045,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
34.145,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
34.245,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
34.345,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
34.445,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
34.545,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
